,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol,action,shares, value ,action,shares, value ,action,shares, value ,action,shares, value 
1032,2021-04-16T12:30:00Z,0.316545,0.31408,0.319451,0.30381,0,reg,FALSE,DOGEUSD,hold,0," $136,533.04 ",hold,0, $141.25 ,hold,0, $161.93 ,buy,1393.301009, $-   
1033,2021-04-16T12:35:00Z,0.31408,0.315556,0.319067,0.311274,0,reg,FALSE,DOGEUSD,buy,434707.8351, $-   ,hold,0, $141.25 ,hold,0, $161.93 ,buy,1393.301009, $-   
1034,2021-04-16T12:40:00Z,0.315556,0.314027,0.317411,0.310465,0,reg,FALSE,DOGEUSD,sell,0," $137,174.67 ",hold,0, $141.25 ,hold,0, $161.93 ,hold,1393.301009, $-   
1035,2021-04-16T12:45:00Z,0.314027,0.320096,0.32346,0.311457,0,reg,FALSE,DOGEUSD,buy,436824.431, $-   ,hold,0, $141.25 ,hold,0, $161.93 ,buy,1393.301009, $-   
1036,2021-04-16T12:50:00Z,0.320096,0.337402,0.342448,0.3174,0,reg,FALSE,DOGEUSD,hold,436824.431, $-   ,hold,0, $141.25 ,hold,0, $161.93 ,hold,1393.301009, $-   
1037,2021-04-16T12:55:00Z,0.337402,0.342616,0.345905,0.333193,0,reg,FALSE,DOGEUSD,hold,436824.431, $-   ,hold,0, $141.25 ,hold,0, $161.93 ,hold,1393.301009, $-   
1038,2021-04-16T13:00:00Z,0.342534,0.341287,0.347689,0.321183,0,reg,FALSE,DOGEUSD,sell,0," $149,627.22 ",sell,0, $141.25 ,sell,0, $161.93 ,hold,1393.301009, $-   
1039,2021-04-16T13:05:00Z,0.341287,0.339187,0.34263,0.330449,0,reg,FALSE,DOGEUSD,hold,0," $149,627.22 ",hold,0, $141.25 ,hold,0, $161.93 ,buy,1393.301009, $-   
1040,2021-04-16T13:10:00Z,0.339187,0.358642,0.360875,0.335071,0,reg,FALSE,DOGEUSD,buy,441134.8892, $-   ,hold,0, $141.25 ,buy,477.4032892, $-   ,buy,1393.301009, $-   
1041,2021-04-16T13:15:00Z,0.358642,0.395891,0.401602,0.352928,0,reg,FALSE,DOGEUSD,hold,441134.8892, $-   ,hold,0, $141.25 ,hold,477.4032892, $-   ,hold,1393.301009, $-   
1042,2021-04-16T13:20:00Z,0.394169,0.391389,0.398548,0.372038,0,reg,FALSE,DOGEUSD,sell,0," $173,881.70 ",hold,0, $141.25 ,hold,477.4032892, $-   ,hold,1393.301009, $-   
1043,2021-04-16T13:25:00Z,0.389987,0.359929,0.394541,0.340555,0,reg,FALSE,DOGEUSD,hold,0," $173,881.70 ",hold,0, $141.25 ,hold,477.4032892, $-   ,buy,1393.301009, $-   
1044,2021-04-16T13:30:00Z,0.359929,0.399297,0.411353,0.35631,0,reg,FALSE,DOGEUSD,buy,483099.9951, $-   ,hold,0, $141.25 ,hold,477.4032892, $-   ,buy,1393.301009, $-   
1045,2021-04-16T13:35:00Z,0.399297,0.472451,0.485386,0.396042,0,reg,FALSE,DOGEUSD,hold,483099.9951, $-   ,hold,0, $141.25 ,hold,477.4032892, $-   ,hold,1393.301009, $-   
1046,2021-04-16T13:40:00Z,0.472451,0.456612,0.487291,0.406963,0,reg,FALSE,DOGEUSD,sell,0," $228,241.08 ",hold,0, $141.25 ,hold,477.4032892, $-   ,hold,1393.301009, $-   
1047,2021-04-16T13:45:00Z,0.456612,0.436323,0.480994,0.426925,0,reg,FALSE,DOGEUSD,hold,0," $228,241.08 ",hold,0, $141.25 ,hold,477.4032892, $-   ,buy,1393.301009, $-   
1048,2021-04-16T13:50:00Z,0.436323,0.37801,0.447962,0.319361,0,reg,FALSE,DOGEUSD,hold,0," $228,241.08 ",hold,0, $141.25 ,buy,477.4032892, $-   ,buy,1393.301009, $-   
1049,2021-04-16T13:55:00Z,0.378695,0.420882,0.430343,0.36248,0,reg,FALSE,DOGEUSD,buy,602704.2231, $-   ,hold,0, $141.25 ,hold,477.4032892, $-   ,buy,1393.301009, $-   
1050,2021-04-16T14:00:00Z,0.420882,0.406988,0.455732,0.392852,0,reg,FALSE,DOGEUSD,sell,0," $253,667.36 ",hold,0, $141.25 ,hold,477.4032892, $-   ,hold,1393.301009, $-   
1051,2021-04-16T14:05:00Z,0.405,0.407789,0.417328,0.382292,0,reg,FALSE,DOGEUSD,buy,626339.1576, $-   ,hold,0, $141.25 ,hold,477.4032892, $-   ,hold,1393.301009, $-   
1052,2021-04-16T14:10:00Z,0.407789,0.391317,0.408925,0.381547,0,reg,FALSE,DOGEUSD,sell,0," $255,414.22 ",hold,0, $141.25 ,hold,477.4032892, $-   ,hold,1393.301009, $-   
1053,2021-04-16T14:15:00Z,0.391317,0.355793,0.394674,0.346756,0,reg,FALSE,DOGEUSD,hold,0," $255,414.22 ",hold,0, $141.25 ,hold,477.4032892, $-   ,buy,1393.301009, $-   
1054,2021-04-16T14:20:00Z,0.355793,0.356338,0.361795,0.325329,0,reg,FALSE,DOGEUSD,buy,717873.0856, $-   ,hold,0, $141.25 ,hold,477.4032892, $-   ,buy,1393.301009, $-   
1055,2021-04-16T14:25:00Z,0.356338,0.37886,0.402586,0.348464,0,reg,FALSE,DOGEUSD,hold,717873.0856, $-   ,hold,0, $141.25 ,hold,477.4032892, $-   ,hold,1393.301009, $-   
1056,2021-04-16T14:30:00Z,0.376933,0.374893,0.395283,0.363759,0,reg,FALSE,DOGEUSD,sell,0," $270,590.06 ",hold,0, $141.25 ,hold,477.4032892, $-   ,hold,1393.301009, $-   
1057,2021-04-16T14:35:00Z,0.374893,0.369745,0.38106,0.362542,0,reg,FALSE,DOGEUSD,hold,0," $270,590.06 ",hold,0, $141.25 ,hold,477.4032892, $-   ,buy,1393.301009, $-   
1058,2021-04-16T14:40:00Z,0.369745,0.376004,0.382357,0.36449,0,reg,FALSE,DOGEUSD,buy,731828.8436, $-   ,hold,0, $141.25 ,buy,477.4032892, $-   ,buy,1393.301009, $-   
1059,2021-04-16T14:45:00Z,0.37009,0.374232,0.387749,0.365291,0,reg,FALSE,DOGEUSD,sell,0," $270,842.54 ",hold,0, $141.25 ,hold,477.4032892, $-   ,hold,1393.301009, $-   
1060,2021-04-16T14:50:00Z,0.369991,0.37916,0.383692,0.366594,0,reg,FALSE,DOGEUSD,buy,732024.662, $-   ,hold,0, $141.25 ,hold,477.4032892, $-   ,buy,1393.301009, $-   
1061,2021-04-16T14:55:00Z,0.384032,0.376512,0.399501,0.368359,0,reg,FALSE,DOGEUSD,sell,0," $281,120.90 ",hold,0, $141.25 ,hold,477.4032892, $-   ,hold,1393.301009, $-   
1062,2021-04-16T15:00:00Z,0.376512,0.388059,0.40485,0.371143,0,reg,FALSE,DOGEUSD,buy,746645.2464, $-   ,hold,0, $141.25 ,hold,477.4032892, $-   ,buy,1393.301009, $-   
1063,2021-04-16T15:05:00Z,0.388059,0.400084,0.419334,0.380854,0,reg,FALSE,DOGEUSD,hold,746645.2464, $-   ,hold,0, $141.25 ,hold,477.4032892, $-   ,hold,1393.301009, $-   
1064,2021-04-16T15:10:00Z,0.400084,0.420096,0.437432,0.393274,0,reg,FALSE,DOGEUSD,hold,746645.2464, $-   ,hold,0, $141.25 ,sell,0, $191.00 ,hold,1393.301009, $-   
1065,2021-04-16T15:15:00Z,0.420096,0.400424,0.429326,0.391249,0,reg,FALSE,DOGEUSD,sell,0," $313,662.68 ",hold,0, $141.25 ,hold,0, $191.00 ,hold,1393.301009, $-   
1066,2021-04-16T15:20:00Z,0.400424,0.39848,0.418562,0.394376,0,reg,FALSE,DOGEUSD,hold,0," $313,662.68 ",hold,0, $141.25 ,hold,0, $191.00 ,buy,1393.301009, $-   
1067,2021-04-16T15:25:00Z,0.39848,0.394525,0.409664,0.383864,0,reg,FALSE,DOGEUSD,hold,0," $313,662.68 ",buy,354.4661099, $-   ,buy,479.3249788, $-   ,buy,1393.301009, $-   
1068,2021-04-16T15:30:00Z,0.394525,0.389992,0.398925,0.37262,0,reg,FALSE,DOGEUSD,hold,0," $313,662.68 ",hold,354.4661099, $-   ,hold,479.3249788, $-   ,buy,1393.301009, $-   
1069,2021-04-16T15:35:00Z,0.389992,0.388023,0.398353,0.383759,0,reg,FALSE,DOGEUSD,hold,0," $313,662.68 ",hold,354.4661099, $-   ,hold,479.3249788, $-   ,buy,1393.301009, $-   
1070,2021-04-16T15:40:00Z,0.388023,0.394678,0.398007,0.38294,0,reg,FALSE,DOGEUSD,buy,808361.0544, $-   ,buy,354.4661099, $-   ,buy,479.3249788, $-   ,buy,1393.301009, $-   
1071,2021-04-16T15:45:00Z,0.394678,0.391364,0.402336,0.385496,0,reg,FALSE,DOGEUSD,sell,0," $319,042.32 ",hold,354.4661099, $-   ,hold,479.3249788, $-   ,hold,1393.301009, $-   
1072,2021-04-16T15:50:00Z,0.391364,0.389473,0.396501,0.383299,0,reg,FALSE,DOGEUSD,hold,0," $319,042.32 ",hold,354.4661099, $-   ,hold,479.3249788, $-   ,buy,1393.301009, $-   
1073,2021-04-16T15:55:00Z,0.3878,0.380394,0.390444,0.372535,0,reg,FALSE,DOGEUSD,hold,0," $319,042.32 ",hold,354.4661099, $-   ,buy,479.3249788, $-   ,buy,1393.301009, $-   
1074,2021-04-16T16:00:00Z,0.380394,0.384674,0.388782,0.362183,0,reg,FALSE,DOGEUSD,buy,838715.4483, $-   ,hold,354.4661099, $-   ,hold,479.3249788, $-   ,buy,1393.301009, $-   
1075,2021-04-16T16:05:00Z,0.384674,0.37332,0.387228,0.370118,0,reg,FALSE,DOGEUSD,sell,0," $322,632.03 ",hold,354.4661099, $-   ,hold,479.3249788, $-   ,hold,1393.301009, $-   
1076,2021-04-16T16:10:00Z,0.37332,0.361219,0.377064,0.353281,0,reg,FALSE,DOGEUSD,hold,0," $322,632.03 ",hold,354.4661099, $-   ,hold,479.3249788, $-   ,buy,1393.301009, $-   
1077,2021-04-16T16:15:00Z,0.361219,0.345786,0.366089,0.319604,0,reg,FALSE,DOGEUSD,hold,0," $322,632.03 ",hold,354.4661099, $-   ,buy,479.3249788, $-   ,buy,1393.301009, $-   
1078,2021-04-16T16:20:00Z,0.345786,0.346128,0.366976,0.335162,0,reg,FALSE,DOGEUSD,buy,933039.5862, $-   ,hold,354.4661099, $-   ,hold,479.3249788, $-   ,buy,1393.301009, $-   
1079,2021-04-16T16:25:00Z,0.347128,0.295927,0.349428,0.282965,0,reg,FALSE,DOGEUSD,sell,0," $323,884.17 ",hold,354.4661099, $-   ,hold,479.3249788, $-   ,hold,1393.301009, $-   
1080,2021-04-16T16:30:00Z,0.295927,0.349167,0.364903,0.289862,0,reg,FALSE,DOGEUSD,buy,1094473.183, $-   ,hold,354.4661099, $-   ,hold,479.3249788, $-   ,buy,1393.301009, $-   
1081,2021-04-16T16:35:00Z,0.349167,0.328512,0.356442,0.324582,0,reg,FALSE,DOGEUSD,sell,0," $382,153.92 ",hold,354.4661099, $-   ,hold,479.3249788, $-   ,hold,1393.301009, $-   
1082,2021-04-16T16:40:00Z,0.329439,0.33087,0.334097,0.320543,0,reg,FALSE,DOGEUSD,buy,1160014.199, $-   ,hold,354.4661099, $-   ,hold,479.3249788, $-   ,hold,1393.301009, $-   
1083,2021-04-16T16:45:00Z,0.33087,0.354153,0.364277,0.327278,0,reg,FALSE,DOGEUSD,hold,1160014.199, $-   ,hold,354.4661099, $-   ,hold,479.3249788, $-   ,hold,1393.301009, $-   
